City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Fairbanks,64.8378,-147.7164,34.61,77,0,8.05,US,2022-04-30 14:39:25
94,Ghogha,21.6833,72.2833,92.57,50,0,10.98,IN,2022-04-30 14:39:25
95,Cape Town,-33.9258,18.4232,69.28,61,0,14.97,ZA,2022-04-30 14:35:00
96,La Romana,18.4273,-68.9728,80.96,69,75,13.8,DO,2022-04-30 14:39:26
97,Champerico,14.3,-91.9167,79.34,66,36,3.22,GT,2022-04-30 14:39:26
98,Morant Bay,17.8815,-76.4093,86.7,67,13,10.63,JM,2022-04-30 14:39:26
99,Vagur,61.4732,-6.8119,45.23,90,100,12.01,FO,2022-04-30 14:39:27
100,Estelle,29.8458,-90.1067,81.0,72,40,6.91,US,2022-04-30 14:39:27
101,Severo-Kurilsk,50.6789,156.125,33.96,82,92,16.98,RU,2022-04-30 14:39:28
102,Pevek,69.7008,170.3133,-5.71,100,96,0.98,RU,2022-04-30 14:39:28
103,Arauco,-37.2463,-73.3175,54.86,51,0,3.33,CL,2022-04-30 14:39:28
104,Allapalli,19.4167,80.0667,97.21,13,1,1.28,IN,2022-04-30 14:39:29
105,Arraial Do Cabo,-22.9661,-42.0278,76.96,78,75,8.05,BR,2022-04-30 14:39:29
106,Clyde River,70.4692,-68.5914,12.43,73,100,0.0,CA,2022-04-30 14:39:30
107,Cherskiy,68.75,161.3,-6.14,100,79,4.18,RU,2022-04-30 14:39:30
108,Lata,40.1629,-8.3327,78.49,44,10,11.41,PT,2022-04-30 14:39:31
109,Moron,-34.6534,-58.6198,57.94,62,100,2.95,AR,2022-04-30 14:39:31
110,Jamestown,42.097,-79.2353,56.95,35,0,5.75,US,2022-04-30 14:39:31
111,Saryozek,44.3583,77.9753,65.66,23,100,7.45,KZ,2022-04-30 14:39:32
112,Saint-Leu,-21.15,55.2833,79.66,79,31,3.13,RE,2022-04-30 14:39:32
113,Kenai,60.5544,-151.2583,40.03,74,0,8.05,US,2022-04-30 14:39:33
114,Alofi,-19.0595,-169.9187,76.89,94,98,3.44,NU,2022-04-30 14:39:33
115,Yarmouth,41.7057,-70.2286,53.15,65,40,21.0,US,2022-04-30 14:39:34
116,Barcelos,41.5388,-8.6151,79.92,48,8,8.34,PT,2022-04-30 14:37:48
117,Naduvattam,11.4833,76.5667,60.87,86,57,4.03,IN,2022-04-30 14:39:34
118,Tasiilaq,65.6145,-37.6368,41.16,42,70,14.36,GL,2022-04-30 14:39:35
119,Porto Novo,6.4965,2.6036,86.47,63,89,9.17,BJ,2022-04-30 14:39:35
120,Somerset West,-34.084,18.8211,69.22,63,54,6.89,ZA,2022-04-30 14:35:37
121,Mabaruma,8.2,-59.7833,85.42,61,99,7.54,GY,2022-04-30 14:39:36
122,Cayenne,4.9333,-52.3333,86.04,6,75,11.5,GF,2022-04-30 14:36:02
123,Yellowknife,62.456,-114.3525,19.92,68,0,9.22,CA,2022-04-30 14:38:35
124,Provideniya,64.3833,-173.3,28.0,93,100,14.88,RU,2022-04-30 14:39:36
125,Kapuskasing,49.4169,-82.4331,51.89,24,20,5.75,CA,2022-04-30 14:36:36
126,Thompson,55.7435,-97.8558,33.96,75,75,8.05,CA,2022-04-30 14:39:16
127,Chokurdakh,70.6333,147.9167,6.96,96,33,7.05,RU,2022-04-30 14:39:37
128,Paranaiba,-19.6772,-51.1908,87.4,39,26,4.88,BR,2022-04-30 14:39:37
129,Esperance,-33.8667,121.9,57.04,78,0,8.05,AU,2022-04-30 14:39:38
130,Nouadhibou,20.931,-17.0347,75.18,53,100,14.97,MR,2022-04-30 14:39:38
131,Avera,33.194,-82.5271,73.38,56,87,7.36,US,2022-04-30 14:39:39
132,Mayumba,-3.432,10.6554,81.41,75,100,6.2,GA,2022-04-30 14:39:39
133,Pangoa,-12.1167,-73.0,78.48,68,97,2.8,PE,2022-04-30 14:39:39
134,Mapiripan,2.8892,-72.1256,72.16,98,100,2.84,CO,2022-04-30 14:39:40
135,Lanciano,42.2167,14.3882,65.44,46,1,5.97,IT,2022-04-30 14:39:40
136,Mana,5.6592,-53.7767,83.68,63,43,12.33,GF,2022-04-30 14:40:41
137,Saint-Philippe,-21.3585,55.7679,80.19,79,45,11.18,RE,2022-04-30 14:40:42
138,Airai,-8.9266,125.4092,60.26,90,91,3.13,TL,2022-04-30 14:40:42
