City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,102,Sorland,67.667,12.6934,36.45,66,100,16.53,NO,2022-05-02 02:55:44
103,103,Kamenka,51.3223,42.7678,39.65,59,3,3.71,RU,2022-05-02 02:59:04
104,104,Olafsvik,64.8945,-23.7142,33.17,65,30,18.52,IS,2022-05-02 02:59:05
105,105,Bodo,67.28,14.405,35.64,83,75,19.57,NO,2022-05-02 02:59:05
106,106,Bluff,-46.6,168.3333,65.8,69,74,9.64,NZ,2022-05-02 02:59:05
107,107,Bilma,18.6853,12.9164,87.91,11,6,10.25,NE,2022-05-02 02:59:06
108,108,Baruun-Urt,46.6806,113.2792,67.77,23,53,13.42,MN,2022-05-02 02:59:06
109,109,Atuona,-9.8,-139.0333,78.26,82,100,14.92,PF,2022-05-02 02:59:07
110,110,Selfoss,63.9331,-20.9971,35.04,61,96,8.97,IS,2022-05-02 02:59:07
111,111,Grindavik,63.8424,-22.4338,37.87,75,0,12.66,IS,2022-05-02 02:59:08
112,112,Yellowknife,62.456,-114.3525,43.32,52,0,11.5,CA,2022-05-02 02:55:14
113,113,Port Blair,11.6667,92.75,86.04,79,75,2.3,IN,2022-05-02 02:59:08
114,114,New Norfolk,-42.7826,147.0587,69.3,57,100,1.99,AU,2022-05-02 02:54:48
115,115,Hasaki,35.7333,140.8333,63.0,53,100,9.15,JP,2022-05-02 02:59:09
116,116,Bellingham,48.7595,-122.4882,58.86,75,100,1.99,US,2022-05-02 02:59:09
117,117,Omboue,-1.5746,9.2618,77.14,90,100,5.26,GA,2022-05-02 02:59:09
118,118,Mitsamiouli,-11.3847,43.2844,80.37,71,1,13.47,KM,2022-05-02 02:58:09
119,119,Thompson,55.7435,-97.8558,24.96,86,100,13.8,CA,2022-05-02 02:59:10
120,120,Dauriya,49.9333,116.8667,67.01,29,100,15.93,RU,2022-05-02 02:59:10
121,121,Ribeira Grande,38.5167,-28.7,61.97,84,24,1.77,PT,2022-05-02 02:59:11
122,122,Contamana,-7.3333,-75.0167,79.61,67,99,2.17,PE,2022-05-02 02:59:11
123,123,Presidencia Roque Saenz Pena,-26.7852,-60.4388,59.81,97,100,4.05,AR,2022-05-02 02:55:50
124,124,Geraldton,-28.7667,114.6,72.01,40,0,9.22,AU,2022-05-02 02:54:46
125,125,Basoko,1.2391,23.616,69.04,95,94,4.03,CD,2022-05-02 02:59:12
126,126,Vanimo,-2.6741,141.3028,79.99,87,100,2.17,PG,2022-05-02 02:57:18
127,127,San Cristobal,7.7669,-72.225,73.58,95,88,3.36,VE,2022-05-02 02:59:12
128,128,Faya,18.3851,42.4509,60.91,53,98,2.89,SA,2022-05-02 02:59:13
129,129,Brae,60.3964,-1.353,46.83,88,100,13.6,GB,2022-05-02 02:59:13
130,130,Havre-Saint-Pierre,50.2334,-63.5986,37.76,75,100,3.44,CA,2022-05-02 02:59:14
131,131,Tateyama,34.9833,139.8667,62.53,61,94,7.96,JP,2022-05-02 02:59:14
132,132,Anadyr,64.75,177.4833,25.3,79,0,11.18,RU,2022-05-02 02:57:48
133,133,Hobyo,5.3505,48.5268,83.48,71,99,14.72,SO,2022-05-02 02:59:15
134,134,Kimparana,12.8347,-4.9244,87.17,41,94,4.0,ML,2022-05-02 02:59:15
135,135,Vaini,-21.2,-175.2,82.56,83,75,11.5,TO,2022-05-02 02:54:25
136,136,Kodiak,57.79,-152.4072,45.91,66,100,11.5,US,2022-05-02 02:56:17
137,137,Dalbandin,28.8947,64.4101,81.1,19,0,4.61,PK,2022-05-02 02:59:16
138,138,Darhan,49.4867,105.9228,68.43,20,17,5.23,MN,2022-05-02 03:00:22
139,139,Dingle,10.9995,122.6711,88.09,57,35,9.53,PH,2022-05-02 02:56:59
140,140,Port Elizabeth,-33.918,25.5701,54.32,88,0,1.01,ZA,2022-05-02 03:00:33
141,141,Chuguyevka,44.1653,133.8633,41.43,89,100,5.57,RU,2022-05-02 03:00:39
142,142,Roald,62.5833,6.1333,46.76,93,100,25.32,NO,2022-05-02 03:00:43
143,143,Pevek,69.7008,170.3133,21.97,73,100,8.19,RU,2022-05-02 03:00:44
144,144,Entre Rios,-11.9419,-38.0844,68.4,94,6,0.69,BR,2022-05-02 03:00:44
145,145,Sar-E Pul,35.8333,66.1667,65.39,55,99,2.71,AF,2022-05-02 03:00:45
146,146,Mataura,-46.1927,168.8643,64.47,56,23,4.79,NZ,2022-05-02 03:00:46
147,147,Cidreira,-30.1811,-50.2056,63.28,76,100,7.34,BR,2022-05-02 03:00:46
148,148,Kilindoni,-7.9139,39.6668,79.92,78,57,19.82,TZ,2022-05-02 03:00:46
149,149,Kupino,54.3663,77.2981,48.0,46,55,14.07,RU,2022-05-02 03:00:47
150,150,Gorontalo,0.5412,123.0595,88.63,65,66,3.96,ID,2022-05-02 03:00:47
151,151,Kabalo,-6.05,26.9167,69.19,97,98,0.98,CD,2022-05-02 03:00:48
152,152,Sitka,57.0531,-135.33,42.62,94,100,3.38,US,2022-05-02 03:00:48
153,153,Aksha,50.2814,113.2867,70.95,22,100,13.91,RU,2022-05-02 03:00:49
154,154,Nago,26.5881,127.9761,66.45,74,100,9.08,JP,2022-05-02 03:00:49
155,155,Port Alfred,-33.5906,26.891,59.86,81,11,5.75,ZA,2022-05-02 03:00:47
